frame,root_jump_xy_m,root_jump_z_m,max_hip_knee_jump_rad,reasons
30,0.6154555150355334,0.37874555587768555,0.46012091636657715,root_xy_jump+root_z_jump
49,0.8383476933655215,0.44701898097991943,0.73295958340168,root_xy_jump+root_z_jump
68,0.4349327934746638,0.45956718921661377,0.5397288799285889,root_xy_jump+root_z_jump
94,0.8496781353749566,0.44854748249053955,0.8174095153808594,root_xy_jump+root_z_jump+hip_knee_jump
124,0.5713260552170649,0.36818188428878784,0.5759792923927307,root_xy_jump+root_z_jump
155,0.8545662819279986,0.39261943101882935,0.5095119476318359,root_xy_jump+root_z_jump
181,0.8266616673151541,0.47122180461883545,0.9623564779758453,root_xy_jump+root_z_jump+hip_knee_jump
209,0.6398250489799985,0.433377206325531,0.5663100630044937,root_xy_jump+root_z_jump
240,0.2807451697154229,0.46214693784713745,0.3448878824710846,root_xy_jump+root_z_jump
267,0.5810996465680328,0.39905959367752075,0.6250306442379951,root_xy_jump+root_z_jump
296,0.7129538282498127,0.3723066449165344,0.4658682942390442,root_xy_jump+root_z_jump
321,0.35489987976956466,0.41084277629852295,0.6097747087478638,root_xy_jump+root_z_jump
351,0.6943634429759942,0.39753997325897217,1.3802483081817627,root_xy_jump+root_z_jump+hip_knee_jump
375,0.7626536755629899,0.4150751233100891,0.7820315770804882,root_xy_jump+root_z_jump+hip_knee_jump
404,0.7481792427757016,0.3603585958480835,0.7470821142196655,root_xy_jump+root_z_jump
431,0.6046410469883406,0.441736102104187,0.680604875087738,root_xy_jump+root_z_jump
470,0.29798953710135867,0.07295894622802734,1.7620720267295837,root_xy_jump+hip_knee_jump
497,0.5871590833209587,0.3927261233329773,0.877141535282135,root_xy_jump+root_z_jump+hip_knee_jump
528,0.5729708393614913,0.3606030344963074,0.47122621536254883,root_xy_jump+root_z_jump
551,1.2410607983495483,0.3782626986503601,1.0883792638778687,root_xy_jump+root_z_jump+hip_knee_jump
587,1.1625131286852397,0.38406097888946533,1.1437113285064697,root_xy_jump+root_z_jump+hip_knee_jump
630,1.1021417944800334,0.47588109970092773,0.6420235633850098,root_xy_jump+root_z_jump
662,1.212325710042186,0.381899356842041,1.4797905683517456,root_xy_jump+root_z_jump+hip_knee_jump
698,1.3377829425044896,0.499048113822937,1.5887512266635895,root_xy_jump+root_z_jump+hip_knee_jump
722,0.6499421475767481,0.40436428785324097,0.8611207008361816,root_xy_jump+root_z_jump+hip_knee_jump
750,0.747373384400672,0.4784289598464966,0.2972515821456909,root_xy_jump+root_z_jump
787,1.439567475347304,0.4089900255203247,1.0151515901088715,root_xy_jump+root_z_jump+hip_knee_jump
836,1.3262771628018661,0.5285316109657288,1.2829734086990356,root_xy_jump+root_z_jump+hip_knee_jump
863,1.2743324907631695,0.3662410378456116,1.160642921924591,root_xy_jump+root_z_jump+hip_knee_jump
900,1.3014344439667755,0.3794656991958618,0.4189070463180542,root_xy_jump+root_z_jump
937,0.19179966327619197,0.15752649307250977,0.709057629108429,root_z_jump
1012,1.1951498987535025,0.579775869846344,0.67674919962883,root_xy_jump+root_z_jump
1133,0.9811220311158328,0.5813004970550537,0.8307381272315979,root_xy_jump+root_z_jump+hip_knee_jump
1237,0.8413977794454609,0.5173122882843018,0.43215635418891907,root_xy_jump+root_z_jump
1353,0.8035459602020293,0.525301992893219,1.258508887141943,root_xy_jump+root_z_jump+hip_knee_jump
1456,0.813124194970565,0.5080896615982056,0.289727296680212,root_xy_jump+root_z_jump
1530,0.9134453968020109,0.5997443199157715,0.8666715323925018,root_xy_jump+root_z_jump+hip_knee_jump
1593,0.7738492971202044,0.3843079209327698,0.9853598475456238,root_xy_jump+root_z_jump+hip_knee_jump
1676,0.7809355523676725,0.5320557355880737,0.2660611569881439,root_xy_jump+root_z_jump
1776,0.3795238596438071,0.09940230846405029,1.2092734575271606,root_xy_jump+hip_knee_jump
1927,1.1754123818313273,0.6016749739646912,1.2419848442077637,root_xy_jump+root_z_jump+hip_knee_jump
2104,1.0499458252987686,0.5768389701843262,0.9768655896186829,root_xy_jump+root_z_jump+hip_knee_jump
2274,1.2585443671148433,0.5802605152130127,0.8187692761421204,root_xy_jump+root_z_jump+hip_knee_jump
2451,1.2496317333364646,0.6118839979171753,1.2625516653060913,root_xy_jump+root_z_jump+hip_knee_jump
2628,1.2832276446990378,0.583005428314209,0.7118577361106873,root_xy_jump+root_z_jump
2742,1.3436971293736975,0.5860194563865662,0.930106520652771,root_xy_jump+root_z_jump+hip_knee_jump
2864,1.4330201308387773,0.6231147050857544,0.8721745014190674,root_xy_jump+root_z_jump+hip_knee_jump
2975,1.1690276321578692,0.635595440864563,0.7076975405216217,root_xy_jump+root_z_jump
6796,12.40714050881375,0.011807382106781006,0.39768195152282715,root_xy_jump
